Crop,State,Cost of Cultivation (`/Hectare) A2+FL,Cost of Cultivation (`/Hectare) C2,Cost of Production (`/Quintal) C2,Yield (Quintal/ Hectare),Variety,Season_duration,Recommended_Zone
Pigeon Pea,Uttar Pradesh,9794.05,23076.74,1941.55,9.83,Unknown,NotSpecified,Unspecified
Pigeon Pea,Karnataka,10593.15,16528.68,2172.46,7.47,Unknown,NotSpecified,Unspecified
Pigeon Pea,Gujarat,13468.82,19551.9,1898.3,9.59,Unknown,NotSpecified,Unspecified
Pigeon Pea,Andhra Pradesh,17051.66,24171.65,3670.54,6.42,Unknown,NotSpecified,Unspecified
Pigeon Pea,Maharashtra,17130.55,25270.26,2775.8,8.72,Unknown,NotSpecified,Unspecified
Cotton,Maharashtra,23711.44,33116.82,2539.47,12.69,CNH012,165,"Gujarat, Maharashtra and Madhya Pradesh."
Cotton,Maharashtra,23711.44,33116.82,2539.47,12.69,CICR-3 (CISA 614),150,"Punjab, Haryana and Uttar Pradesh under wilt free area."
Cotton,Maharashtra,23711.44,33116.82,2539.47,12.69,VBCH 2231,NotSpecified,"Maharashtra, Gujarat, Madhya Pradesh and Orissa under rainfed conditions."
Cotton,Punjab,29047.1,50828.83,2003.76,24.39,CNH012,165,"Gujarat, Maharashtra and Madhya Pradesh."
Cotton,Punjab,29047.1,50828.83,2003.76,24.39,CICR-3 (CISA 614),150,"Punjab, Haryana and Uttar Pradesh under wilt free area."
Cotton,Punjab,29047.1,50828.83,2003.76,24.39,VBCH 2231,NotSpecified,"Maharashtra, Gujarat, Madhya Pradesh and Orissa under rainfed conditions."
Cotton,Andhra Pradesh,29140.77,44756.72,2509.99,17.83,CNH012,165,"Gujarat, Maharashtra and Madhya Pradesh."
Cotton,Andhra Pradesh,29140.77,44756.72,2509.99,17.83,CICR-3 (CISA 614),150,"Punjab, Haryana and Uttar Pradesh under wilt free area."
Cotton,Andhra Pradesh,29140.77,44756.72,2509.99,17.83,VBCH 2231,NotSpecified,"Maharashtra, Gujarat, Madhya Pradesh and Orissa under rainfed conditions."
Cotton,Gujarat,29616.09,42070.44,2179.26,19.05,CNH012,165,"Gujarat, Maharashtra and Madhya Pradesh."
Cotton,Gujarat,29616.09,42070.44,2179.26,19.05,CICR-3 (CISA 614),150,"Punjab, Haryana and Uttar Pradesh under wilt free area."
Cotton,Gujarat,29616.09,42070.44,2179.26,19.05,VBCH 2231,NotSpecified,"Maharashtra, Gujarat, Madhya Pradesh and Orissa under rainfed conditions."
Cotton,Haryana,29918.97,44018.18,2127.35,19.9,CNH012,165,"Gujarat, Maharashtra and Madhya Pradesh."
Cotton,Haryana,29918.97,44018.18,2127.35,19.9,CICR-3 (CISA 614),150,"Punjab, Haryana and Uttar Pradesh under wilt free area."
Cotton,Haryana,29918.97,44018.18,2127.35,19.9,VBCH 2231,NotSpecified,"Maharashtra, Gujarat, Madhya Pradesh and Orissa under rainfed conditions."
Chickpea,Rajasthan,8552.69,12610.85,1691.66,6.83,Unknown,NotSpecified,Unspecified
Chickpea,Madhya Pradesh,9803.89,16873.17,1551.94,10.29,Unknown,NotSpecified,Unspecified
Chickpea,Uttar Pradesh,12833.04,21618.43,1882.68,10.93,Unknown,NotSpecified,Unspecified
